City,Country,Region,County, Total_Population , White , % white , Black_African , %Black African , Asian , %Asian , Other_Ethnicity , % other_Ethinic , Total_NonWhite ,% non_white
Wiltshire,England,South West England,Wiltshire," 531,890.00 "," 499,977.00 ",94%," 5,319.00 ",1%," 15,957.00 ",3%," 10,638.00 ",2%," 31,914.00 ",6%
Liverpool,England,North West England,Merseyside," 518,060.00 "," 435,170.00 ",84%," 25,903.00 ",5%," 25,903.00 ",5%," 31,084.00 ",6%," 82,890.00 ",16%
Bristol,England,South West England,Bristol," 504,401.00 "," 383,345.00 ",76%," 35,308.00 ",7%," 40,352.00 ",8%," 45,396.00 ",9%," 121,056.00 ",24%
Kirklees,England,Yorkshire and The Humber,West Yorkshire," 451,654.00 "," 316,158.00 ",70%," 13,550.00 ",3%," 94,847.00 ",21%," 27,099.00 ",6%," 135,496.00 ",30%
Cheshire East,England,North West England,Cheshire," 431,445.00 "," 401,244.00 ",93%," 4,314.00 ",1%," 17,258.00 ",4%," 8,629.00 ",2%," 30,201.00 ",7%
Croydon,England,Greater London,Greater London," 415,854.00 "," 216,244.00 ",52%," 74,854.00 ",18%," 70,695.00 ",17%," 54,061.00 ",13%," 199,610.00 ",48%
Barnet,England,Greater London,Greater London," 411,361.00 "," 213,908.00 ",52%," 24,682.00 ",6%," 102,840.00 ",25%," 69,931.00 ",17%," 197,453.00 ",48%
Leicester,England,East Midlands,Leicestershire," 397,462.00 "," 162,562.00 ",41%," 31,002.00 ",8%," 172,499.00 ",43%," 31,399.00 ",8%," 234,900.00 ",59%
Ealing,England,Greater London,Greater London," 392,217.00 "," 156,887.00 ",40%," 31,377.00 ",8%," 145,120.00 ",37%," 58,833.00 ",15%," 235,330.00 ",60%
Cardiff,Wales,Wales,South Glamorgan," 391,495.00 "," 301,451.00 ",77%," 15,660.00 ",4%," 43,064.00 ",11%," 31,320.00 ",8%," 90,044.00 ",23%
Newham,England,Greater London,Greater London," 385,122.00 "," 119,388.00 ",31%," 61,620.00 ",16%," 146,346.00 ",38%," 57,768.00 ",15%," 265,734.00 ",69%
Cheshire West and Chester,England,North West England,Cheshire," 379,280.00 "," 345,145.00 ",91%," 3,793.00 ",1%," 18,964.00 ",5%," 11,378.00 ",3%," 34,135.00 ",9%
Coventry,England,West Midlands,West Midlands," 378,024.00 "," 226,814.00 ",60%," 30,242.00 ",8%," 83,165.00 ",22%," 37,802.00 ",10%," 151,209.00 ",40%
Fife,Scotland,Scotland,Fife," 376,502.00 "," 338,852.00 ",90%," 7,530.00 ",2%," 18,825.00 ",5%," 11,295.00 ",3%," 37,650.00 ",10%
Wakefield,England,Yorkshire and The Humber,West Yorkshire," 375,620.00 "," 330,546.00 ",88%," 7,512.00 ",2%," 22,537.00 ",6%," 15,025.00 ",4%," 45,074.00 ",12%
East Riding of Yorkshire,England,Yorkshire and The Humber,East Riding of Yorkshire," 360,762.00 "," 342,724.00 ",95%," 3,608.00 ",1%," 10,823.00 ",3%," 3,608.00 ",1%," 18,039.00 ",5%
Sandwell,England,West Midlands,West Midlands," 360,389.00 "," 198,214.00 ",55%," 28,831.00 ",8%," 97,305.00 ",27%," 36,039.00 ",10%," 162,175.00 ",45%
Brent,England,Greater London,Greater London," 356,957.00 "," 128,505.00 ",36%," 49,974.00 ",14%," 124,935.00 ",35%," 53,544.00 ",15%," 228,453.00 ",64%
Wigan,England,North West England,Greater Manchester," 350,509.00 "," 332,984.00 ",95%," 3,505.00 ",1%," 10,515.00 ",3%," 3,505.00 ",1%," 17,525.00 ",5%
North Lanarkshire,Scotland,Scotland,Lanarkshire," 345,840.00 "," 311,256.00 ",90%," 6,917.00 ",2%," 17,292.00 ",5%," 10,375.00 ",3%," 34,584.00 ",10%
Tower Hamlets,England,Greater London,Greater London," 343,937.00 "," 110,060.00 ",32%," 24,076.00 ",7%," 151,332.00 ",44%," 58,469.00 ",17%," 233,877.00 ",68%
Wandsworth,England,Greater London,Greater London," 341,081.00 "," 214,881.00 ",63%," 30,697.00 ",9%," 34,108.00 ",10%," 61,395.00 ",18%," 126,200.00 ",37%
South Lanarkshire,Scotland,Scotland,Lanarkshire," 337,675.00 "," 303,908.00 ",90%," 6,754.00 ",2%," 16,884.00 ",5%," 10,130.00 ",3%," 33,768.00 ",10%
Hillingdon,England,Greater London,Greater London," 337,556.00 "," 172,154.00 ",51%," 23,629.00 ",7%," 94,516.00 ",28%," 47,258.00 ",14%," 165,403.00 ",49%
Bromley,England,Greater London,Greater London," 337,506.00 "," 243,004.00 ",72%," 27,000.00 ",8%," 33,751.00 ",10%," 33,751.00 ",10%," 94,502.00 ",28%
Shropshire,England,West Midlands,Shropshire," 337,480.00 "," 323,981.00 ",96%," 3,375.00 ",1%," 6,750.00 ",2%," 3,375.00 ",1%," 13,500.00 ",4%
Dudley,England,West Midlands,West Midlands," 335,485.00 "," 258,323.00 ",77%," 10,065.00 ",3%," 46,968.00 ",14%," 20,129.00 ",6%," 77,162.00 ",23%
Northumberland,England,North East England,Northumberland," 335,376.00 "," 325,315.00 ",97%," 3,354.00 ",1%," 3,354.00 ",1%," 3,354.00 ",1%," 10,062.00 ",3%
Nottingham,England,East Midlands,Nottinghamshire," 335,171.00 "," 220,878.00 ",66%," 33,517.00 ",10%," 49,940.00 ",15%," 30,836.00 ",9%," 114,293.00 ",34%
Wirral,England,North West England,Merseyside," 330,714.00 "," 304,257.00 ",92%," 6,614.00 ",2%," 13,229.00 ",4%," 6,614.00 ",2%," 26,457.00 ",8%
Newcastle upon Tyne,England,North East England,Tyne and Wear," 328,349.00 "," 265,963.00 ",81%," 13,134.00 ",4%," 29,551.00 ",9%," 19,701.00 ",6%," 62,386.00 ",19%
Central Bedfordshire,England,East of England,Bedfordshire," 326,829.00 "," 271,268.00 ",83%," 9,805.00 ",3%," 29,415.00 ",9%," 16,341.00 ",5%," 55,561.00 ",17%
Enfield,England,Greater London,Greater London," 326,676.00 "," 169,872.00 ",52%," 39,201.00 ",12%," 55,535.00 ",17%," 62,068.00 ",19%," 156,804.00 ",48%
Redbridge,England,Greater London,Greater London," 325,903.00 "," 120,584.00 ",37%," 29,331.00 ",9%," 136,879.00 ",42%," 39,108.00 ",12%," 205,318.00 ",63%
Doncaster,England,Yorkshire and The Humber,South Yorkshire," 323,304.00 "," 287,741.00 ",89%," 6,466.00 ",2%," 19,398.00 ",6%," 9,699.00 ",3%," 35,563.00 ",11%
Southwark,England,Greater London,Greater London," 317,223.00 "," 161,784.00 ",51%," 66,617.00 ",21%," 38,067.00 ",12%," 50,756.00 ",16%," 155,440.00 ",49%
Bolton,England,North West England,Greater Manchester," 315,960.00 "," 233,810.00 ",74%," 9,479.00 ",3%," 56,873.00 ",18%," 15,798.00 ",5%," 82,150.00 ",26%
Lambeth,England,Greater London,Greater London," 315,610.00 "," 164,117.00 ",52%," 69,434.00 ",22%," 25,249.00 ",8%," 56,810.00 ",18%," 151,493.00 ",48%
Milton Keynes,England,South East England,Buckinghamshire," 314,541.00 "," 223,324.00 ",71%," 25,163.00 ",8%," 37,745.00 ",12%," 28,309.00 ",9%," 91,217.00 ",29%
South Gloucestershire,England,South West England,Gloucestershire," 314,483.00 "," 283,035.00 ",90%," 6,290.00 ",2%," 18,869.00 ",6%," 6,290.00 ",2%," 31,449.00 ",10%
Stockport,England,North West England,Greater Manchester," 307,537.00 "," 270,633.00 ",88%," 6,151.00 ",2%," 21,528.00 ",7%," 9,226.00 ",3%," 36,905.00 ",12%
Salford,England,North West England,Greater Manchester," 306,062.00 "," 238,728.00 ",78%," 15,303.00 ",5%," 30,606.00 ",10%," 21,424.00 ",7%," 67,333.00 ",22%
Greenwich,England,Greater London,Greater London," 305,459.00 "," 158,839.00 ",52%," 58,037.00 ",19%," 48,873.00 ",16%," 39,710.00 ",13%," 146,620.00 ",48%
Hounslow,England,Greater London,Greater London," 305,116.00 "," 128,149.00 ",42%," 21,358.00 ",7%," 109,842.00 ",36%," 45,767.00 ",15%," 176,967.00 ",58%
Lewisham,England,Greater London,Greater London," 302,580.00 "," 154,316.00 ",51%," 66,568.00 ",22%," 33,284.00 ",11%," 48,413.00 ",16%," 148,265.00 ",49%
Walsall,England,West Midlands,West Midlands," 300,361.00 "," 219,264.00 ",73%," 12,014.00 ",4%," 48,058.00 ",16%," 21,025.00 ",7%," 81,097.00 ",27%
Medway,England,South East England,Kent," 296,482.00 "," 237,186.00 ",80%," 11,859.00 ",4%," 29,648.00 ",10%," 17,789.00 ",6%," 59,296.00 ",20%
Sunderland,England,North East England,Tyne and Wear," 291,624.00 "," 271,210.00 ",93%," 5,832.00 ",2%," 8,749.00 ",3%," 5,832.00 ",2%," 20,413.00 ",7%
Sefton,England,North West England,Merseyside," 288,723.00 "," 268,512.00 ",93%," 5,774.00 ",2%," 8,662.00 ",3%," 5,774.00 ",2%," 20,210.00 ",7%
Wolverhampton,England,West Midlands,West Midlands," 287,161.00 "," 166,553.00 ",58%," 22,973.00 ",8%," 71,790.00 ",25%," 25,844.00 ",9%," 120,607.00 ",42%
Brighton and Hove,England,South East England,East Sussex," 285,339.00 "," 231,125.00 ",81%," 11,414.00 ",4%," 19,974.00 ",7%," 22,827.00 ",8%," 54,215.00 ",19%
Havering,England,Greater London,Greater London," 282,365.00 "," 231,539.00 ",82%," 16,942.00 ",6%," 19,766.00 ",7%," 14,118.00 ",5%," 50,826.00 ",18%
Waltham Forest,England,Greater London,Greater London," 280,896.00 "," 123,594.00 ",44%," 42,134.00 ",15%," 73,033.00 ",26%," 42,134.00 ",15%," 157,301.00 ",56%
Rotherham,England,Yorkshire and The Humber,South Yorkshire," 279,932.00 "," 243,541.00 ",87%," 5,599.00 ",2%," 22,395.00 ",8%," 8,398.00 ",3%," 36,392.00 ",13%
Kingston upon Hull,England,Yorkshire and The Humber,East Riding of Yorkshire," 278,303.00 "," 244,907.00 ",88%," 5,566.00 ",2%," 16,698.00 ",6%," 11,132.00 ",4%," 33,396.00 ",12%
Derby,England,East Midlands,Derbyshire," 278,015.00 "," 205,175.00 ",74%," 12,511.00 ",5%," 44,482.00 ",16%," 15,847.00 ",6%," 72,840.00 ",26%
Harrow,England,Greater London,Greater London," 274,274.00 "," 104,224.00 ",38%," 19,199.00 ",7%," 120,681.00 ",44%," 30,170.00 ",11%," 170,050.00 ",62%
Stoke-on-Trent,England,West Midlands,Staffordshire," 274,194.00 "," 224,839.00 ",82%," 5,484.00 ",2%," 30,161.00 ",11%," 13,710.00 ",5%," 49,355.00 ",18%
Plymouth,England,South West England,Devon," 274,104.00 "," 252,176.00 ",92%," 5,482.00 ",2%," 10,964.00 ",4%," 5,482.00 ",2%," 21,928.00 ",8%
Hackney,England,Greater London,Greater London," 267,843.00 "," 128,565.00 ",48%," 45,533.00 ",17%," 34,820.00 ",13%," 58,925.00 ",22%," 139,278.00 ",52%
Aberdeenshire,Scotland,Scotland,Aberdeenshire," 265,488.00 "," 238,939.00 ",90%," 5,310.00 ",2%," 13,274.00 ",5%," 7,965.00 ",3%," 26,549.00 ",10%
Southampton,England,South East England,Hampshire," 262,823.00 "," 202,374.00 ",77%," 13,141.00 ",5%," 26,282.00 ",10%," 21,026.00 ",8%," 60,449.00 ",23%
Haringey,England,Greater London,Greater London," 261,872.00 "," 125,699.00 ",48%," 39,281.00 ",15%," 34,043.00 ",13%," 62,849.00 ",24%," 136,173.00 ",52%
Bexley,England,Greater London,Greater London," 259,894.00 "," 194,920.00 ",75%," 20,792.00 ",8%," 28,588.00 ",11%," 15,594.00 ",6%," 64,974.00 ",25%
Oldham,England,North West England,Greater Manchester," 255,956.00 "," 166,371.00 ",65%," 7,679.00 ",3%," 66,549.00 ",26%," 15,357.00 ",6%," 89,585.00 ",35%
Barnsley,England,Yorkshire and The Humber,South Yorkshire," 254,879.00 "," 239,586.00 ",94%," 2,549.00 ",1%," 7,646.00 ",3%," 5,098.00 ",2%," 15,293.00 ",6%
Swansea,Wales,Wales,West Glamorgan," 254,040.00 "," 226,096.00 ",89%," 5,081.00 ",2%," 12,702.00 ",5%," 10,162.00 ",4%," 27,945.00 ",11%
Swindon,England,South West England,Wiltshire," 249,070.00 "," 204,237.00 ",82%," 9,963.00 ",4%," 22,416.00 ",9%," 12,454.00 ",5%," 44,833.00 ",18%
Rhondda Cynon Taff,Wales,Wales,Mid Glamorgan," 244,568.00 "," 220,111.00 ",90%," 4,891.00 ",2%," 12,228.00 ",5%," 7,337.00 ",3%," 24,456.00 ",10%
Luton,England,East of England,Bedfordshire," 244,144.00 "," 109,865.00 ",45%," 21,973.00 ",9%," 85,450.00 ",35%," 26,856.00 ",11%," 134,279.00 ",55%
Tameside,England,North West England,Greater Manchester," 243,351.00 "," 199,548.00 ",82%," 4,867.00 ",2%," 29,202.00 ",12%," 9,734.00 ",4%," 43,803.00 ",18%
Trafford,England,North West England,Greater Manchester," 242,961.00 "," 184,650.00 ",76%," 9,718.00 ",4%," 34,015.00 ",14%," 14,578.00 ",6%," 58,311.00 ",24%
Rochdale,England,North West England,Greater Manchester," 240,500.00 "," 173,160.00 ",72%," 7,215.00 ",3%," 45,695.00 ",19%," 14,430.00 ",6%," 67,340.00 ",28%
Barking and Dagenham,England,Greater London,Greater London," 239,031.00 "," 109,954.00 ",46%," 38,245.00 ",16%," 52,587.00 ",22%," 38,245.00 ",16%," 129,077.00 ",54%
Highland,Scotland,Scotland,Highland," 238,014.00 "," 214,213.00 ",90%," 4,760.00 ",2%," 11,901.00 ",5%," 7,140.00 ",3%," 23,801.00 ",10%
Aberdeen City,Scotland,Scotland,Aberdeenshire," 232,929.00 "," 200,319.00 ",86%," 6,988.00 ",3%," 16,305.00 ",7%," 9,317.00 ",4%," 32,610.00 ",14%
Peterborough,England,East of England,Cambridgeshire," 229,218.00 "," 146,700.00 ",64%," 18,337.00 ",8%," 38,967.00 ",17%," 25,214.00 ",11%," 82,518.00 ",36%
North Somerset,England,South West England,Somerset," 227,819.00 "," 205,037.00 ",90%," 4,556.00 ",2%," 11,391.00 ",5%," 6,835.00 ",3%," 22,782.00 ",10%
Islington,England,Greater London,Greater London," 224,098.00 "," 132,218.00 ",59%," 22,410.00 ",10%," 17,928.00 ",8%," 51,543.00 ",23%," 91,881.00 ",41%
Solihull,England,West Midlands,West Midlands," 223,421.00 "," 183,205.00 ",82%," 6,703.00 ",3%," 22,342.00 ",10%," 11,171.00 ",5%," 40,216.00 ",18%
Merton,England,Greater London,Greater London," 219,608.00 "," 129,569.00 ",59%," 26,353.00 ",12%," 32,941.00 ",15%," 30,745.00 ",14%," 90,039.00 ",41%
North Tyneside,England,North East England,Tyne and Wear," 217,804.00 "," 200,380.00 ",92%," 4,356.00 ",2%," 8,712.00 ",4%," 4,356.00 ",2%," 17,424.00 ",8%
Sutton,England,Greater London,Greater London," 217,602.00 "," 145,793.00 ",67%," 10,880.00 ",5%," 39,168.00 ",18%," 21,760.00 ",10%," 71,808.00 ",33%
Warrington,England,North West England,Cheshire," 216,705.00 "," 197,202.00 ",91%," 4,334.00 ",2%," 10,835.00 ",5%," 4,334.00 ",2%," 19,503.00 ",9%
Camden,England,Greater London,Greater London," 216,045.00 "," 125,306.00 ",58%," 17,284.00 ",8%," 28,086.00 ",13%," 45,369.00 ",21%," 90,739.00 ",42%
Portsmouth,England,South East England,Hampshire," 215,781.00 "," 176,940.00 ",82%," 8,631.00 ",4%," 19,420.00 ",9%," 10,789.00 ",5%," 38,840.00 ",18%
Calderdale,England,Yorkshire and The Humber,West Yorkshire," 211,806.00 "," 167,327.00 ",79%," 6,354.00 ",3%," 27,535.00 ",13%," 10,590.00 ",5%," 44,479.00 ",21%
York,England,Yorkshire and The Humber,North Yorkshire," 210,679.00 "," 187,504.00 ",89%," 4,214.00 ",2%," 12,641.00 ",6%," 6,320.00 ",3%," 23,175.00 ",11%
Stockton-on-Tees,England,North East England,Teesside," 209,330.00 "," 180,024.00 ",86%," 6,280.00 ",3%," 16,746.00 ",8%," 6,280.00 ",3%," 29,306.00 ",14%
Westminster,England,Greater London,Greater London," 208,711.00 "," 114,791.00 ",55%," 14,610.00 ",7%," 29,220.00 ",14%," 50,091.00 ",24%," 93,921.00 ",45%
Colchester,England,South East England,Essex," 204,204.00 "," 173,573.00 ",85%," 8,168.00 ",4%," 14,294.00 ",7%," 8,168.00 ",4%," 30,630.00 ",15%
Bath and North East Somerset,England,South West England,Somerset," 204,131.00 "," 179,635.00 ",88%," 4,083.00 ",2%," 12,248.00 ",6%," 8,165.00 ",4%," 24,496.00 ",12%
Gateshead,England,North East England,Tyne and Wear," 203,092.00 "," 188,876.00 ",93%," 4,062.00 ",2%," 6,093.00 ",3%," 4,062.00 ",2%," 14,217.00 ",7%
Telford and Wrekin,England,West Midlands,Shropshire," 201,479.00 "," 173,272.00 ",86%," 4,030.00 ",2%," 16,118.00 ",8%," 8,059.00 ",4%," 28,207.00 ",14%
Bury,England,North West England,Greater Manchester," 201,135.00 "," 164,931.00 ",82%," 4,023.00 ",2%," 24,136.00 ",12%," 8,045.00 ",4%," 36,204.00 ",18%
Bedford,England,East of England,Bedfordshire," 200,968.00 "," 132,639.00 ",66%," 16,077.00 ",8%," 32,155.00 ",16%," 20,097.00 ",10%," 68,329.00 ",34%
Richmond upon Thames,England,Greater London,Greater London," 197,060.00 "," 149,766.00 ",76%," 5,912.00 ",3%," 19,706.00 ",10%," 21,677.00 ",11%," 47,295.00 ",24%
Basingstoke and Deane,England,South East England,Hampshire," 196,925.00 "," 177,232.00 ",90%," 3,938.00 ",2%," 9,846.00 ",5%," 5,908.00 ",3%," 19,692.00 ",10%
Basildon,England,South East England,Essex," 196,141.00 "," 160,836.00 ",82%," 9,807.00 ",5%," 15,691.00 ",8%," 9,807.00 ",5%," 35,305.00 ",18%
Huntingdonshire,England,East of England,Cambridgeshire," 194,116.00 "," 174,704.00 ",90%," 3,882.00 ",2%," 9,706.00 ",5%," 5,823.00 ",3%," 19,411.00 ",10%
Maidstone,England,South East England,Kent," 193,470.00 "," 162,515.00 ",84%," 5,804.00 ",3%," 15,478.00 ",8%," 9,674.00 ",5%," 30,956.00 ",16%
Wokingham,England,South East England,Berkshire," 193,372.00 "," 158,565.00 ",82%," 3,867.00 ",2%," 23,205.00 ",12%," 7,735.00 ",4%," 34,807.00 ",18%
Chelmsford,England,South East England,Essex," 192,408.00 "," 165,471.00 ",86%," 5,772.00 ",3%," 13,469.00 ",7%," 7,696.00 ",4%," 26,937.00 ",14%
Renfrewshire,Scotland,Scotland,Renfrewshire," 192,252.00 "," 173,027.00 ",90%," 3,845.00 ",2%," 9,613.00 ",5%," 5,768.00 ",3%," 19,226.00 ",10%
Carmarthenshire,Wales,Wales,Dyfed," 192,251.00 "," 173,026.00 ",90%," 3,845.00 ",2%," 9,613.00 ",5%," 5,768.00 ",3%," 19,226.00 ",10%
Herefordshire,England,West Midlands,Herefordshire," 192,238.00 "," 180,704.00 ",94%," 1,922.00 ",1%," 5,767.00 ",3%," 3,845.00 ",2%," 11,534.00 ",6%
Charnwood,England,East Midlands,Leicestershire," 192,008.00 "," 157,447.00 ",82%," 3,840.00 ",2%," 23,041.00 ",12%," 7,680.00 ",4%," 34,561.00 ",18%
St. Helens,England,North West England,Merseyside," 191,293.00 "," 179,815.00 ",94%," 1,913.00 ",1%," 5,739.00 ",3%," 3,826.00 ",2%," 11,478.00 ",6%
Hammersmith and Fulham,England,Greater London,Greater London," 189,009.00 "," 111,515.00 ",59%," 17,011.00 ",9%," 18,901.00 ",10%," 41,582.00 ",22%," 77,494.00 ",41%
West Lothian,Scotland,Scotland,Lothian," 188,591.00 "," 169,732.00 ",90%," 3,772.00 ",2%," 9,430.00 ",5%," 5,658.00 ",3%," 18,860.00 ",10%
Southend-on-Sea,England,South East England,Essex," 186,629.00 "," 151,169.00 ",81%," 9,331.00 ",5%," 16,797.00 ",9%," 9,331.00 ",5%," 35,459.00 ",19%
Reading,England,South East England,Berkshire," 186,096.00 "," 122,823.00 ",66%," 11,166.00 ",6%," 31,636.00 ",17%," 20,471.00 ",11%," 63,273.00 ",34%
Thurrock,England,South East England,Essex," 184,346.00 "," 165,911.00 ",90%," 3,687.00 ",2%," 9,217.00 ",5%," 5,530.00 ",3%," 18,434.00 ",10%
South Cambridgeshire,England,East of England,Cambridgeshire," 176,714.00 "," 159,043.00 ",90%," 3,534.00 ",2%," 8,836.00 ",5%," 5,301.00 ",3%," 17,671.00 ",10%
Caerphilly,Wales,Wales,Gwent," 176,555.00 "," 158,900.00 ",90%," 3,531.00 ",2%," 8,828.00 ",5%," 5,297.00 ",3%," 17,656.00 ",10%
New Forest,England,South East England,Hampshire," 175,741.00 "," 158,167.00 ",90%," 3,515.00 ",2%," 8,787.00 ",5%," 5,272.00 ",3%," 17,574.00 ",10%
Cherwell,England,South East England,Oxfordshire," 175,688.00 "," 158,119.00 ",90%," 3,514.00 ",2%," 8,784.00 ",5%," 5,271.00 ",3%," 17,569.00 ",10%
Kingston upon Thames,England,Greater London,Greater London," 173,846.00 "," 107,785.00 ",62%," 8,692.00 ",5%," 34,769.00 ",20%," 22,600.00 ",13%," 66,061.00 ",38%
Arun,England,South East England,West Sussex," 172,996.00 "," 155,696.00 ",90%," 3,460.00 ",2%," 8,650.00 ",5%," 5,190.00 ",3%," 17,300.00 ",10%
Newport,Wales,Wales,Gwent," 172,428.00 "," 136,218.00 ",79%," 8,621.00 ",5%," 17,243.00 ",10%," 10,346.00 ",6%," 36,210.00 ",21%
North Lincolnshire,England,East Midlands,Lincolnshire," 171,812.00 "," 154,631.00 ",90%," 1,718.00 ",1%," 10,309.00 ",6%," 5,154.00 ",3%," 17,181.00 ",10%
Slough,England,South East England,Berkshire," 171,455.00 "," 58,295.00 ",34%," 13,716.00 ",8%," 80,584.00 ",47%," 18,860.00 ",11%," 113,160.00 ",66%
Wealden,England,South East England,East Sussex," 169,588.00 "," 152,629.00 ",90%," 3,392.00 ",2%," 8,479.00 ",5%," 5,088.00 ",3%," 16,959.00 ",10%
Preston,England,North West England,Lancashire," 168,268.00 "," 114,422.00 ",68%," 6,731.00 ",4%," 37,019.00 ",22%," 10,096.00 ",6%," 53,846.00 ",32%
Oxford,England,South East England,Oxfordshire," 167,837.00 "," 110,772.00 ",66%," 8,392.00 ",5%," 23,497.00 ",14%," 25,176.00 ",15%," 57,065.00 ",34%
Braintree,England,South East England,Essex," 167,439.00 "," 150,695.00 ",90%," 3,349.00 ",2%," 8,372.00 ",5%," 5,023.00 ",3%," 16,744.00 ",10%
West Berkshire,England,South East England,Berkshire," 166,526.00 "," 148,208.00 ",89%," 3,331.00 ",2%," 9,992.00 ",6%," 4,996.00 ",3%," 18,319.00 ",11%
Knowsley,England,North West England,Merseyside," 166,167.00 "," 154,535.00 ",93%," 3,323.00 ",2%," 4,985.00 ",3%," 3,323.00 ",2%," 11,631.00 ",7%
Mid Sussex,England,South East England,West Sussex," 165,560.00 "," 149,004.00 ",90%," 3,311.00 ",2%," 8,278.00 ",5%," 4,967.00 ",3%," 16,556.00 ",10%
Blackburn with Darwen,England,North West England,Lancashire," 165,346.00 "," 94,247.00 ",57%," 3,307.00 ",2%," 61,178.00 ",37%," 6,614.00 ",4%," 71,099.00 ",43%
Dacorum,England,East of England,Hertfordshire," 163,854.00 "," 147,469.00 ",90%," 3,277.00 ",2%," 8,193.00 ",5%," 4,916.00 ",3%," 16,386.00 ",10%
Canterbury,England,South East England,Kent," 163,454.00 "," 138,936.00 ",85%," 4,904.00 ",3%," 11,442.00 ",7%," 8,173.00 ",5%," 24,519.00 ",15%
East Devon,England,South West England,Devon," 162,971.00 "," 146,674.00 ",90%," 3,259.00 ",2%," 8,149.00 ",5%," 4,889.00 ",3%," 16,297.00 ",10%
Reigate and Banstead,England,South East England,Surrey," 162,599.00 "," 146,339.00 ",90%," 3,252.00 ",2%," 8,130.00 ",5%," 4,878.00 ",3%," 16,260.00 ",10%
Swale,England,South East England,Kent," 162,085.00 "," 145,876.00 ",90%," 3,242.00 ",2%," 8,104.00 ",5%," 4,863.00 ",3%," 16,209.00 ",10%
Windsor and Maidenhead,England,South East England,Berkshire," 160,991.00 "," 125,573.00 ",78%," 4,830.00 ",3%," 17,709.00 ",11%," 12,879.00 ",8%," 35,418.00 ",22%
Falkirk,Scotland,Scotland,Falkirk," 160,499.00 "," 144,449.00 ",90%," 3,210.00 ",2%," 8,025.00 ",5%," 4,815.00 ",3%," 16,050.00 ",10%
Tendring,England,South East England,Essex," 160,360.00 "," 144,324.00 ",90%," 3,207.00 ",2%," 8,018.00 ",5%," 4,811.00 ",3%," 16,036.00 ",10%
South Oxfordshire,England,South East England,Oxfordshire," 160,319.00 "," 144,287.00 ",90%," 3,206.00 ",2%," 8,016.00 ",5%," 4,810.00 ",3%," 16,032.00 ",10%
Middlesbrough,England,North East England,Teesside," 160,100.00 "," 123,277.00 ",77%," 6,404.00 ",4%," 20,813.00 ",13%," 9,606.00 ",6%," 36,823.00 ",23%
North East Lincolnshire,England,East Midlands,Lincolnshire," 160,083.00 "," 145,676.00 ",91%," 1,601.00 ",1%," 8,004.00 ",5%," 4,802.00 ",3%," 14,407.00 ",9%
East Hertfordshire,England,East of England,Hertfordshire," 160,064.00 "," 144,058.00 ",90%," 3,201.00 ",2%," 8,003.00 ",5%," 4,802.00 ",3%," 16,006.00 ",10%
Warwick,England,West Midlands,Warwickshire," 158,150.00 "," 132,846.00 ",84%," 3,163.00 ",2%," 14,234.00 ",9%," 7,908.00 ",5%," 25,305.00 ",16%
King's Lynn and West Norfolk,England,East of England,Norfolk," 157,188.00 "," 141,469.00 ",90%," 3,144.00 ",2%," 7,859.00 ",5%," 4,716.00 ",3%," 15,719.00 ",10%
